mu_B,energy_density,pressure
922.0,29.256028688442605,-2.750291769475298
923.0,29.32013894206794,-2.643806211056753
924.0,29.421301662959866,-2.5397854897424246
925.0,29.52215895972344,-2.435261459275642
926.0,29.58366124918457,-2.327502328350686
927.0,38.84355201349333,-2.8683176063017335
928.0,43.230443141884216,-3.060285995964124
929.0,46.62612496786746,-3.1771120610940553
930.0,49.518602285519194,-3.2541326634441785
931.0,52.09053706867098,-3.304804991915979
932.0,54.43444468212801,-3.3360534352160216
933.0,56.60499462593716,-3.35203141475484
934.0,58.63774020755696,-3.3554789719404883
935.0,60.55737632224619,-3.3483257119359187
936.0,62.38190289079378,-3.331996952458606
937.0,64.12493297576077,-3.3075846165075156
938.0,65.79706667532984,-3.275949641206193
939.0,67.40675557883227,-3.2377868393850586
940.0,68.96087147639557,-3.19366784770521
941.0,70.46509446766865,-3.1440706230119
942.0,71.92418607540468,-3.089400329301742
943.0,73.34218651635291,-3.0300045176825
944.0,74.72256042732357,-2.9661844082456232
945.0,76.06830663950434,-2.898203439614517
946.0,77.38204230265963,-2.8262938595641893
947.0,78.66606834039821,-2.750661882977017
948.0,79.92242107479395,-2.6714917833647105
949.0,81.15291344133094,-2.588949177941319
950.0,82.35916825661457,-2.503183694137246
951.0,83.54264534009776,-2.4143311555562557
952.0,84.70466383050976,-2.3225153898813793
953.0,85.84642067858007,-2.2278497385576266
954.0,86.96900615407657,-2.130438321128735
955.0,88.07341683672843,-2.0303771108884523
956.0,89.16056666980386,-1.9277548468900874
957.0,90.23129636445391,-1.822653817037444
958.0,91.28638146510262,-1.7151505324787932
959.0,92.32653929681284,-1.6053163119708824
960.0,93.35243499360239,-1.493217789244316
961.0,94.36468671144513,-1.3789173596603366
962.0,95.36387022840911,-1.2624735678269325
963.0,96.35052294283177,-1.1439414529639524
964.0,97.32514740879702,-1.0233728530191963
965.0,98.28821445782687,-0.9008166749889698
966.0,99.24016597734554,-0.7763191346350744
967.0,100.18141735695994,-0.649923973477503
968.0,101.11235970039883,-0.5216726501918804
969.0,102.03336178815596,-0.39160451448459577
970.0,102.94477184294655,-0.2597569633830217
971.0,103.84691911810452,-0.12616558249122795
972.0,104.74011533028445,0.009135726031444297
973.0,105.62465595483549,0.14611462725098326
974.0,106.50082139968433,0.2847402476825038
975.0,107.36887807142433,0.42498307881201497
976.0,108.22907934555523,0.5668148889200398
977.0,109.08166645122503,0.7102086423342872
978.0,109.9268692795807,0.8551384253466717
979.0,110.7649071236556,1.0015793781227582
980.0,111.59598935680465,1.1495076320101805
981.0,112.42031605583507,1.2989002517223787
982.0,113.23807857427809,1.4497351819335238
983.0,114.04946007061609,1.6019911978716392
984.0,114.85463599574723,1.7556478595445448
985.0,115.65377454333506,1.9106854692598227
986.0,116.44703706791701,2.0670850324462506
987.0,117.23457846768088,2.2248282197166507
988.0,118.01654754863709,2.3838973350231054
989.0,118.79308735345438,2.544275281554259
